accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
AB008550,35343,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Citexvirus,Pseudomonas virus phiCTX
AB009866,71366,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus phage PVL
AB016282,10717,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Bacillus phage phi105
AB044554,129009,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus prophage phiPV83
AB045978,130478,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Triavirus,Staphylococcus virus phiSLT
AB063393,1714273,Viruses,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,,Gammasphaerolipovirus,Thermus virus IN93
AB102868,221029,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Enterobacteria phage ST104
AB231700,340435,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Microcystis virus Ma-LMM01
AB243556,360398,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus virus 108PVL
AB255436,379329,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Stx2-converting phage 86
AB276040,406340,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Aresaunavirus,Ralstonia virus RSA1
AB285204,414970,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Enterobacteria phage cdtI
AB362338,10754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Salmonella virus P22
AB366653,1980924,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Mieseafarmvirus,Ralstonia virus RSL1
AB370205,487152,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus phiMR25
AB370268,379501,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus phiMR11
AB374228,493906,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Longwoodvirus,Vibrio virus Kappa
AB426868,10754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Salmonella virus P22
AB451219,551790,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Okabevirinae,Higashivirus,Ralstonia virus RSB1
AB472900,582345,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nankokuvirus,Pseudomonas virus KPP10
AB560486,763998,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pbunavirus,Pseudomonas virus KPP12
AB597179,913183,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Kelmasvirus,Ralstonia virus RSB2
AB605730,941058,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Spounavirinae,,Bacillus phage SP-10
AB626962,1010614,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus virus S24-1
AB626963,1010615,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage S13'
AB647160,1208236,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Schmidvirus,Helicobacter virus KHP30
AB711120,547228,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saundersvirus,Bacillus phage PM1
AB712291,1173135,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saphexavirus,Enterococcus virus BC611
AB716666,1194091,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Slopekvirinae,Drulisvirus,Klebsiella virus K244
AB720063,1188794,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Klementvirus,Xanthomonas virus CP1
AB720064,1188795,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Xanthomonas citri phage CP2
AB731695,1204178,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Schmidvirus,Helicobacter virus KHP40
AB746912,1230469,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Nitratiruptor phage NrS-1
AB757800,1244856,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Kafunavirus,Edwardsiella virus KF1
AB757801,1244857,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Kafunavirus,Edwardsiella virus KF1
AB767244,1264700,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Yokohamavirus,Edwardsiella virus MSW3
AB775548,1279082,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Pseudomonas phage PPpW-3
AB775549,1279083,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Phutvirus,Pseudomonas virus PPpW4
AB797215,2169687,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,,Taipeivirus,Klebsiella virus 0507KN21
AB823818,1352230,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Thermus phage phi OH2
AB853330,1041526,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus S253
AB853331,1041527,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus S25-4
AB854109,1402875,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Jiaoyazivirus,Ralstonia virus RSB3
AB863625,1417599,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Ralstonia phage RSK1
AB897757,1439894,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Alcyoneusvirus,Klebsiella virus K64-1
AB903967,1450142,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus SA12
AB910392,1462581,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage KPP23
AB910393,1462608,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Kochitakasuvirus,Pseudomonas virus KPP25
AB916497,1483485,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Ralstonia phage RS138
AB920995,1481785,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Okabevirinae,Risjevirus,Ralstonia virus RSJ2
AB967974,1503929,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Aurantimonas phage AmM-1
AB981169,1530085,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Aresaunavirus,Ralstonia virus RSY1
AB983711,1538364,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Okabevirinae,Risjevirus,Ralstonia virus RSJ5
AF009630,63118,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus virus bIL170
AF011378,31532,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus virus sk1
AF020713,66797,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Spbetavirus,Bacillus virus SPbeta
AF022214,28369,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium virus D29
AF063097,10679,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Peduovirus,Escherichia virus P2
